Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.01721891667,-16.07133484,-8.032138824,40.22375488,44.05398409
0.02727829167,-16.07133484,-8.032138824,40.22375488,44.05398409
0.03733829167,-15.90336609,-8.036417007,40.26544189,44.03188461
0.04739929167,-15.90336609,-8.036417007,40.26544189,44.03188461
0.05745929167,-16.05393982,-8.21455574,39.99261475,43.87045867
0.06752029167,-16.05393982,-8.21455574,39.99261475,43.87045867
0.07758029167,-15.95541382,-8.34598732,40.00463867,43.87028436
0.08764029167,-15.95541382,-8.34598732,40.00463867,43.87028436
0.09770129167,-15.96896362,-8.23888588,39.94641113,43.80185843
0.1077612917,-15.96896362,-8.23888588,39.94641113,43.80185843
0.1178222917,-16.00941467,-8.24250412,39.94818115,43.81891612
0.1278822917,-16.00941467,-8.24250412,39.94818115,43.81891612
0.1379422917,-15.98686218,-8.376739502,39.87695312,43.77123391
0.1480032917,-15.91053772,-8.696832657,40.00579834,43.92316029
0.1580632917,-15.91053772,-8.696832657,40.00579834,43.92316029
0.1681232917,-15.93371582,-8.703363419,40.02319336,43.94869556
0.1781842917,-15.93371582,-8.703363419,40.02319336,43.94869556
0.1882442917,-16.32366943,-8.790681839,39.86065674,43.96146297
0.1983052917,-16.32366943,-8.790681839,39.86065674,43.96146297
0.2083652917,-16.13032532,-9.146194458,39.81329346,43.91968356
0.2184252917,-16.13032532,-9.146194458,39.81329346,43.91968356
0.2284862917,-16.33096313,-8.943330765,39.82623291,43.96376178
0.2385462917,-16.33096313,-8.943330765,39.82623291,43.96376178
0.2486072917,-16.60900879,-9.109178543,39.58123779,43.88064143
0.2586672917,-16.60900879,-9.109178543,39.58123779,43.88064143
0.2687272917,-16.49971008,-9.557359695,39.48901367,43.85163347
0.2787882917,-16.49971008,-9.557359695,39.48901367,43.85163347
0.2888482917,-16.54443359,-9.71421814,39.46228027,43.87887739
0.2989092917,-16.54443359,-9.71421814,39.46228027,43.87887739
0.3089692917,-16.72227478,-9.853441238,39.42993164,43.94820005
0.3190292917,-16.72227478,-9.853441238,39.42993164,43.94820005
0.3290902917,-16.69152832,-9.955848694,39.25958252,43.8068586
0.3391502917,-16.69152832,-9.955848694,39.25958252,43.8068586
0.3492112917,-16.90585327,-10.11200523,39.34063721,43.9971165
0.3592712917,-17.01185608,-10.0621624,39.48522949,44.15578906
0.3693312917,-17.01185608,-10.0621624,39.48522949,44.15578906
0.3793922917,-16.85385132,-10.29271317,39.24310303,43.9319176
0.3894522917,-16.85385132,-10.29271317,39.24310303,43.9319176
0.3995132917,-16.91784668,-10.76516151,38.98425293,43.83918584
0.4095732917,-16.91784668,-10.76516151,38.98425293,43.83918584
0.4196332917,-16.94439697,-10.91760254,39.02593994,43.92414623
0.4296942917,-16.94439697,-10.91760254,39.02593994,43.92414623
0.4397542917,-16.80960083,-11.24150276,39.12335205,44.0405579
0.4498152917,-16.80960083,-11.24150276,39.12335205,44.0405579
0.4598752917,-16.78152466,-11.35440063,38.97186279,43.92434488
0.4699352917,-16.78152466,-11.35440063,38.97186279,43.92434488
0.4799962917,-16.8215332,-11.57935905,38.86871338,43.90697456
0.4900562917,-16.8215332,-11.57935905,38.86871338,43.90697456
0.5001172917,-16.73051453,-11.79527092,38.89300537,43.95115925
0.5101772917,-16.73051453,-11.79527092,38.89300537,43.95115925
0.5202372917,-16.76029968,-11.94538116,38.58569336,43.73163053
0.5302982917,-16.76029968,-11.94538116,38.58569336,43.73163053
0.5403582917,-16.82156372,-12.05258369,38.48065186,43.69199408
0.5504192917,-16.82156372,-12.05258369,38.48065186,43.69199408
0.5604792917,-16.92018127,-12.18678856,38.50872803,43.79192259
0.5705392917,-16.92018127,-12.18678856,38.50872803,43.79192259
0.5806002917,-16.67321777,-12.33590126,38.65765381,43.87009059
0.5906602917,-16.95742798,-12.35134315,38.62457275,43.95415409
0.6007202917,-16.95742798,-12.35134315,38.62457275,43.95415409
0.6107812917,-16.88169861,-12.41161537,38.78485107,44.08292886
0.6208412917,-16.88169861,-12.41161537,38.78485107,44.08292886
0.6309022917,-16.96134949,-12.33259392,38.58081055,43.91194816
0.6409622917,-16.96134949,-12.33259392,38.58081055,43.91194816
0.6510222917,-16.86402893,-12.47377777,38.47088623,43.81780107
0.6610832917,-16.86402893,-12.47377777,38.47088623,43.81780107
0.6711432917,-16.7956543,-12.2850399,38.50970459,43.77229211
0.6812042917,-16.7956543,-12.2850399,38.50970459,43.77229211
0.6912642917,-16.62997437,-12.21956253,38.6539917,43.81785972
0.7013242917,-16.62997437,-12.21956253,38.6539917,43.81785972
0.7113852917,-16.45056152,-11.73455429,38.90081787,43.835994
0.7214452917,-16.45056152,-11.73455429,38.90081787,43.835994
0.7315062917,-16.0475769,-11.34319687,39.35595703,43.98959188
0.7415662917,-16.0475769,-11.34319687,39.35595703,43.98959188
0.7516262917,-15.82064819,-10.91005898,39.77355957,44.17304989
0.7616872917,-15.82064819,-10.91005898,39.77355957,44.17304989
0.7717472917,-15.78553772,-10.39997864,39.68011475,43.9528641
0.7818072917,-15.78553772,-10.39997864,39.68011475,43.9528641
0.7918682917,-15.91670227,-10.14096069,39.85534668,44.09794954
0.8019282917,-16.27780151,-9.930206299,39.67700195,44.02090757
0.8119892917,-16.27780151,-9.930206299,39.67700195,44.02090757
0.8220492917,-16.2930603,-9.406295776,39.93218994,44.14206619
0.8321092917,-16.2930603,-9.406295776,39.93218994,44.14206619
0.8421702917,-16.27503967,-9.119684219,39.86663818,44.01584256
0.8522302917,-16.27503967,-9.119684219,39.86663818,44.01584256
0.8622912917,-16.30131531,-8.809204102,40.05169678,44.13018663
0.8723512917,-16.30131531,-8.809204102,40.05169678,44.13018663
0.8824112917,-16.42274475,-8.890830994,40.12261963,44.25582478
0.8924722917,-16.42274475,-8.890830994,40.12261963,44.25582478
0.9025322917,-16.2956543,-8.96367836,40.09484863,44.19833442
0.9125932917,-16.2956543,-8.96367836,40.09484863,44.19833442
