Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.0143905,-21.88343811,-13.25653458,36.33361816,44.43818607
0.0244515,-21.88343811,-13.25653458,36.33361816,44.43818607
0.0345115,-21.70619202,-13.10547447,36.3526001,44.32182044
0.0445725,-21.81192017,-13.03180504,36.46923828,44.44764498
0.0546325,-21.81192017,-13.03180504,36.46923828,44.44764498
0.0646925,-21.57626343,-13.07171059,36.61688232,44.46572649
0.0747535,-21.57626343,-13.07171059,36.61688232,44.46572649
0.0848135,-21.17443848,-12.80006409,36.84863281,44.38490989
0.0948745,-21.17443848,-12.80006409,36.84863281,44.38490989
0.1049345,-21.02055359,-12.65419769,36.75335693,44.19051525
0.1149945,-21.02055359,-12.65419769,36.75335693,44.19051525
0.1250555,-20.68945312,-12.83847427,37.08465576,44.36385449
0.1351155,-20.68945312,-12.83847427,37.08465576,44.36385449
0.1451765,-20.5201416,-12.94771194,37.16748047,44.38627108
0.1552365,-20.5201416,-12.94771194,37.16748047,44.38627108
0.1652975,-20.29582214,-13.14837265,37.1696167,44.34388916
0.1753575,-20.29582214,-13.14837265,37.1696167,44.34388916
0.1854175,-20.06106567,-13.33842468,37.44274902,44.52324543
0.1954785,-20.06106567,-13.33842468,37.44274902,44.52324543
0.2055385,-19.56364441,-13.23861313,37.51348877,44.33124068
0.2155998333,-19.56364441,-13.23861313,37.51348877,44.33124068
0.2256598333,-19.61120605,-13.00223351,37.8682251,44.58318014
0.2357198333,-19.61120605,-13.00223351,37.8682251,44.58318014
0.2457808333,-19.23500061,-13.18115425,37.80114746,44.41457897
0.2558408333,-18.97640991,-13.31790161,37.86798096,44.40106551
0.2659018333,-18.97640991,-13.31790161,37.86798096,44.40106551
0.2759618333,-18.582901,-13.10086632,37.95166016,44.24121852
0.2860228333,-18.582901,-13.10086632,37.95166016,44.24121852
0.2960828333,-18.61479187,-13.18887711,38.03887939,44.35553293
0.3061428333,-18.61479187,-13.18887711,38.03887939,44.35553293
0.3162038333,-18.66915894,-13.04694748,38.17114258,44.44993205
0.3262638333,-18.66915894,-13.04694748,38.17114258,44.44993205
0.3363248333,-18.7202301,-12.78133202,38.16656494,44.39027081
0.3463848333,-18.7202301,-12.78133202,38.16656494,44.39027081
0.3564448333,-18.95581055,-12.78779602,38.18774414,44.51015932
0.3665058333,-18.95581055,-12.78779602,38.18774414,44.51015932
0.3765658333,-19.08518982,-12.66913795,37.94726562,44.32546103
0.3866268333,-19.08518982,-12.66913795,37.94726562,44.32546103
0.3966868333,-19.0585022,-12.39655876,38.03063965,44.30835956
0.4067478333,-19.0585022,-12.39655876,38.03063965,44.30835956
0.4168078333,-19.06214905,-12.49916649,38.06408691,44.36743628
0.4268678333,-19.06214905,-12.49916649,38.06408691,44.36743628
0.4369288333,-19.12640381,-12.2704525,38.13165283,44.38925855
0.4469888333,-19.12640381,-12.2704525,38.13165283,44.38925855
0.4570498333,-19.32835388,-12.32515526,37.99664307,44.3761152
0.4671098333,-19.32835388,-12.32515526,37.99664307,44.3761152
0.4771698333,-19.21153259,-12.39823151,38.00366211,44.35174701
0.4872308333,-19.04212952,-12.31313324,38.13745117,44.36982227
0.4972908333,-19.04212952,-12.31313324,38.13745117,44.36982227
0.5073518333,-18.66574097,-11.85380363,38.51116943,44.407575
0.5174118333,-18.66574097,-11.85380363,38.51116943,44.407575
0.5274728333,-18.38279724,-11.25029182,38.82086182,44.40220279
0.5375328333,-18.38279724,-11.25029182,38.82086182,44.40220279
