Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.01326341667,-16.16758728,-5.701137543,40.5925293,44.06412693
0.02332441667,-16.16758728,-5.701137543,40.5925293,44.06412693
0.03338441667,-16.14085388,-5.675437927,40.78125,44.22497158
0.04344541667,-16.14085388,-5.675437927,40.78125,44.22497158
0.05350541667,-15.93087769,-5.747458458,40.53527832,43.9310247
0.06356541667,-15.93087769,-5.747458458,40.53527832,43.9310247
0.07362641667,-16.10722351,-6.014501572,40.50585938,44.00388076
0.08368641667,-16.10722351,-6.014501572,40.50585938,44.00388076
0.09374741667,-16.31033325,-6.232076645,40.35083008,43.96652406
0.1038074167,-15.97476196,-5.929791451,40.35192871,43.80220996
0.1138684167,-15.97476196,-5.929791451,40.35192871,43.80220996
0.1239284167,-16.1353302,-6.03903389,40.2442627,43.77692875
0.1339884167,-16.1353302,-6.03903389,40.2442627,43.77692875
0.1440494167,-16.10487366,-6.065981865,40.44116211,43.95054817
0.1541094167,-16.10487366,-6.065981865,40.44116211,43.95054817
0.1641704167,-16.35960388,-6.267619133,40.34460449,43.98416534
0.1742304167,-16.35960388,-6.267619133,40.34460449,43.98416534
0.1842914167,-16.20140076,-6.267447472,40.25012207,43.83877976
0.1943514167,-16.20140076,-6.267447472,40.25012207,43.83877976
0.2044114167,-16.25854492,-6.603700638,40.22015381,43.88177204
0.2144724167,-16.25854492,-6.603700638,40.22015381,43.88177204
0.2245324167,-16.40188599,-6.338371277,40.37567139,44.03852466
0.2345934167,-16.40188599,-6.338371277,40.37567139,44.03852466
0.2446534167,-16.44085693,-6.564174652,40.23303223,43.95551214
0.2547144167,-16.44085693,-6.564174652,40.23303223,43.95551214
0.2647744167,-16.50559998,-6.877605438,40.12860107,43.93223089
0.2748344167,-16.50559998,-6.877605438,40.12860107,43.93223089
0.2848954167,-16.40235901,-6.675298691,40.13696289,43.86995309
0.2949554167,-16.40235901,-6.675298691,40.13696289,43.86995309
0.3050164167,-16.36306763,-6.829799652,40.0892334,43.83540555
0.3150764167,-16.36306763,-6.829799652,40.0892334,43.83540555
0.3251374167,-16.61457825,-6.967832565,40.04937744,43.91523124
0.3351974167,-16.50212097,-7.096969604,40.12017822,43.95811273
0.3452574167,-16.50212097,-7.096969604,40.12017822,43.95811273
0.3553184167,-16.56845093,-7.087875366,40.00701904,43.87839008
0.3653784167,-16.56845093,-7.087875366,40.00701904,43.87839008
0.3754394167,-16.37814331,-7.443426132,39.8828125,43.75256454
0.3854994167,-16.37814331,-7.443426132,39.8828125,43.75256454
0.3955604167,-16.50166321,-7.389505386,39.82287598,43.73523899
0.4056204167,-16.50166321,-7.389505386,39.82287598,43.73523899
0.4156804167,-16.40884399,-7.579286575,39.9208374,43.82201507
0.4257414167,-16.40884399,-7.579286575,39.9208374,43.82201507
0.4358014167,-16.48757935,-7.610422134,39.94281006,43.8769515
0.4458624167,-16.48757935,-7.610422134,39.94281006,43.8769515
0.4559224167,-16.45744324,-8.034946442,39.71331787,43.73277282
0.4659830417,-16.45744324,-8.034946442,39.71331787,43.73277282
0.4760430417,-16.54115295,-8.125263214,39.6272583,43.70296608
0.4861030417,-16.54115295,-8.125263214,39.6272583,43.70296608
0.4961640417,-16.5524292,-8.197080612,39.78491211,43.86358711
0.5062240417,-16.5524292,-8.197080612,39.78491211,43.86358711
0.5162850417,-16.44343567,-8.213914871,39.7911377,43.83137704
0.5263450417,-16.44343567,-8.213914871,39.7911377,43.83137704
0.5364060417,-16.45547485,-8.240154266,39.81347656,43.86109564
0.5464660417,-16.36605835,-8.291389465,39.69451904,43.72927906
0.5565260417,-16.36605835,-8.291389465,39.69451904,43.72927906
0.5665870417,-16.53175354,-8.479230881,39.58685303,43.73002589
0.5766470417,-16.53175354,-8.479230881,39.58685303,43.73002589
0.5867080417,-16.54626465,-8.593774796,39.61334229,43.781831
0.5967680417,-16.54626465,-8.593774796,39.61334229,43.781831
0.6068290417,-16.73017883,-9.177593231,39.56237793,43.92389838
0.6168890417,-16.73017883,-9.177593231,39.56237793,43.92389838
0.6269490417,-16.61802673,-9.320619583,39.51940918,43.8727303
0.6370100417,-16.61802673,-9.320619583,39.51940918,43.8727303
0.6470700417,-16.42945862,-9.397474289,39.47406006,43.777175
0.6571310417,-16.42945862,-9.397474289,39.47406006,43.777175
0.6671910417,-16.52146912,-9.428157806,39.38690186,43.73988042
0.6772520417,-16.52146912,-9.428157806,39.38690186,43.73988042
0.6873120417,-16.32209778,-9.534769058,39.69873047,43.96944277
0.6973720417,-16.32209778,-9.534769058,39.69873047,43.96944277
0.7074330417,-16.29217529,-9.693149567,39.4609375,43.77850743
0.7174930417,-16.29217529,-9.693149567,39.4609375,43.77850743
0.7275540417,-16.25961304,-9.515752792,39.54779053,43.80584782
0.7376140417,-16.25961304,-9.515752792,39.54779053,43.80584782
0.7476750417,-16.30456543,-9.426609039,39.70892334,43.94881574
0.7577350417,-16.30456543,-9.426609039,39.70892334,43.94881574
0.7677950417,-16.13539124,-9.389545441,39.55792236,43.74178364
0.7778560417,-15.99052429,-9.300252914,39.70410156,43.80190923
0.7879160417,-15.99052429,-9.300252914,39.70410156,43.80190923
0.7979770417,-16.14360046,-9.023040771,39.97015381,44.04139299
0.8080370417,-16.14360046,-9.023040771,39.97015381,44.04139299
0.8180980417,-16.33760071,-9.177415848,39.98852539,44.1613442
0.8281580417,-16.33760071,-9.177415848,39.98852539,44.1613442
0.8382180417,-16.35986328,-9.266712189,39.83337402,44.04786905
0.8482790417,-16.35986328,-9.266712189,39.83337402,44.04786905
0.8583390417,-16.48298645,-9.56893158,39.72235107,44.05812602
0.8684000417,-16.48298645,-9.56893158,39.72235107,44.05812602
0.8784600417,-16.47898865,-9.837791443,39.67663574,44.07464839
0.8885210417,-16.47898865,-9.837791443,39.67663574,44.07464839
0.8985810417,-16.46101379,-10.04587936,39.53796387,43.99017224
0.9086410417,-16.46101379,-10.04587936,39.53796387,43.99017224
0.9187020417,-16.66123962,-10.26583481,39.49023438,44.07338064
0.9287620417,-16.66123962,-10.26583481,39.49023438,44.07338064
0.9388230417,-16.88137817,-10.76521683,39.4239502,44.21672389
0.9488830417,-16.88137817,-10.76521683,39.4239502,44.21672389
0.9589440417,-17.00419617,-11.42978287,38.92260742,43.98581581
0.9690040417,-17.00419617,-11.42978287,38.92260742,43.98581581
0.9790640417,-17.00389099,-12.32529259,38.60961914,43.9516534
0.9891250417,-16.96714783,-13.23990059,38.48626709,44.09503178
0.9991850417,-16.96714783,-13.23990059,38.48626709,44.09503178
1.009246042,-17.24501038,-14.49429131,38.04504395,44.21425372
1.019306042,-17.24501038,-14.49429131,38.04504395,44.21425372
1.029367042,-17.39149475,-15.70295525,37.62347412,44.32350052
1.039427042,-17.39149475,-15.70295525,37.62347412,44.32350052
1.049487042,-17.69487,-17.42606544,36.79364014,44.39085644
1.059548042,-17.69487,-17.42606544,36.79364014,44.39085644
1.069608042,-17.80462646,-19.23410988,35.73999023,44.32045361
1.079669042,-17.80462646,-19.23410988,35.73999023,44.32045361
1.089729042,-17.88070679,-21.02933121,34.90582275,44.50133603
1.099790042,-17.88070679,-21.02933121,34.90582275,44.50133603
1.109850042,-18.01655579,-23.03076553,33.78540039,44.68182766
1.119910042,-18.01655579,-23.03076553,33.78540039,44.68182766
1.129971042,-18.16973877,-25.12123871,32.02587891,44.57435317
1.140031042,-18.16973877,-25.12123871,32.02587891,44.57435317
1.150092042,-18.09840393,-26.97562027,30.35058594,44.45665733
1.160152042,-18.09840393,-26.97562027,30.35058594,44.45665733
1.170213042,-17.88935852,-29.03109741,28.39813232,44.37665698
1.180273042,-17.88935852,-29.03109741,28.39813232,44.37665698
1.190334042,-17.98474121,-31.16385651,26.08398438,44.44109708
1.200394042,-17.98474121,-31.16385651,26.08398438,44.44109708
1.210454042,-18.20941162,-33.10025024,23.68481445,44.58900844
1.220515042,-18.56629944,-34.93886948,20.66833496,44.6386844
1.230575042,-18.56629944,-34.93886948,20.66833496,44.6386844
1.240636042,-19.41204834,-36.72683716,17.23614502,44.97524745
1.250696042,-19.41204834,-36.72683716,17.23614502,44.97524745
1.260757042,-19.74893188,-38.0526123,13.68798828,45.00425132
1.270817042,-19.74893188,-38.0526123,13.68798828,45.00425132
1.280877042,-19.84289551,-38.8536644,9.636230469,44.6789064
1.290938042,-19.84289551,-38.8536644,9.636230469,44.6789064
1.300998042,-19.78921509,-39.65237808,6.205322266,44.74852116
1.311059042,-19.78921509,-39.65237808,6.205322266,44.74852116
1.321119042,-19.66085815,-40.18170547,3.494812012,44.87017394
1.331180042,-19.66085815,-40.18170547,3.494812012,44.87017394
1.341240042,-19.51956177,-40.56803131,1.740722656,45.05339689
