Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.02180591667,-21.63650513,-5.406223297,37.43847656,43.57757602
0.03186691667,-21.63650513,-5.406223297,37.43847656,43.57757602
0.04192691667,-21.53735352,-5.321576118,37.67987061,43.72584382
0.05198791667,-21.53735352,-5.321576118,37.67987061,43.72584382
0.06204791667,-21.25582886,-5.273389816,37.78875732,43.67618436
0.07210891667,-21.25582886,-5.273389816,37.78875732,43.67618436
0.08216891667,-21.17648315,-5.024401665,38.01043701,43.80047229
0.09222991667,-21.17648315,-5.024401665,38.01043701,43.80047229
0.1022899167,-20.93728638,-4.968852997,38.18829346,43.83383645
0.1123509167,-20.93728638,-4.968852997,38.18829346,43.83383645
0.1224109167,-20.74589539,-5.191083908,38.23461914,43.80896744
0.1324719167,-20.74589539,-5.191083908,38.23461914,43.80896744
0.1425319167,-20.72235107,-5.195771217,38.42346191,43.96332901
0.1525929167,-20.72235107,-5.195771217,38.42346191,43.96332901
0.1626529167,-20.5973053,-4.918554306,38.67346191,44.09169784
0.1727139167,-20.12208557,-5.123421669,38.60760498,43.8371411
0.1827739167,-20.12208557,-5.123421669,38.60760498,43.8371411
0.1928349167,-19.85635376,-5.086920738,38.83154297,43.90945543
0.2028949167,-19.85635376,-5.086920738,38.83154297,43.90945543
0.2129559167,-19.58912659,-4.777498245,38.92681885,43.83897348
0.2230159167,-19.58912659,-4.777498245,38.92681885,43.83897348
0.2330769167,-19.37075806,-4.824242592,39.20062256,43.99077623
0.24313675,-19.37075806,-4.824242592,39.20062256,43.99077623
0.25319775,-18.95950317,-4.808171272,39.45721436,44.03922157
0.26325775,-18.95950317,-4.808171272,39.45721436,44.03922157
0.27331875,-18.48971558,-4.386497498,39.81005859,44.11294263
0.28337875,-18.48971558,-4.386497498,39.81005859,44.11294263
0.29343975,-17.95605469,-4.048651695,40.02954102,44.05877477
0.30349975,-17.95605469,-4.048651695,40.02954102,44.05877477
0.31356075,-17.49411011,-4.056426048,40.21478271,44.04233452
0.32362075,-17.49411011,-4.056426048,40.21478271,44.04233452
0.33368175,-17.00160217,-3.986199379,40.60345459,44.19937541
0.34374175,-17.00160217,-3.986199379,40.60345459,44.19937541
0.35380275,-16.66567993,-3.298301697,40.70300293,44.10621418
0.36386275,-16.66567993,-3.298301697,40.70300293,44.10621418
0.37392275,-16.21311951,-3.493918419,40.70117188,43.95063256
0.38398375,-16.14070129,-3.004437447,40.94067383,44.10994963
0.39404375,-16.14070129,-3.004437447,40.94067383,44.10994963
0.40410475,-16.02493286,-3.002932549,40.99377441,44.11695386
0.41416475,-16.02493286,-3.002932549,40.99377441,44.11695386
0.42422575,-15.67619324,-2.83717823,41.0670166,44.04875103
0.43428575,-15.67619324,-2.83717823,41.0670166,44.04875103
0.44434675,-15.52783203,-2.790805817,41.08703613,44.01189274
0.45440675,-15.52783203,-2.790805817,41.08703613,44.01189274
0.46446775,-15.62884521,-2.921786308,41.28289795,44.2388438
0.47452775,-15.62884521,-2.921786308,41.28289795,44.2388438
