Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.01735691667,-14.88871765,-14.31425476,38.73529053,43.89754589
0.02741791667,-14.88871765,-14.31425476,38.73529053,43.89754589
0.03747791667,-14.86105347,-13.96652603,39.06524658,44.06822268
0.04753891667,-14.86105347,-13.96652603,39.06524658,44.06822268
0.05759891667,-14.73344421,-13.66468811,38.94360352,43.82239535
0.06765991667,-14.73344421,-13.66468811,38.94360352,43.82239535
0.07771991667,-14.92001343,-13.4113884,39.14532471,43.98668646
0.08777991667,-14.92001343,-13.4113884,39.14532471,43.98668646
0.09784091667,-14.92547607,-13.31448746,39.3324585,44.12581675
0.1079009167,-14.92547607,-13.31448746,39.3324585,44.12581675
0.1179619167,-15.05157471,-13.13631058,39.15930176,43.96093119
0.1280219167,-15.05157471,-13.13631058,39.15930176,43.96093119
0.1380829167,-15.07524109,-13.0374527,39.55596924,44.2934845
0.1481429167,-15.07524109,-13.0374527,39.55596924,44.2934845
0.1582039167,-15.44038391,-12.97217369,39.43597412,44.29310105
0.1682639167,-15.44038391,-12.97217369,39.43597412,44.29310105
0.1783239167,-15.42790222,-12.77763367,39.38500977,44.18672972
0.1883849167,-15.42790222,-12.77763367,39.38500977,44.18672972
0.1984449167,-15.62539673,-13.07637787,39.27233887,44.24320605
0.2085059167,-15.5349884,-13.33968925,39.09161377,44.12977953
0.2185659167,-15.5349884,-13.33968925,39.09161377,44.12977953
0.2286269167,-15.39875793,-13.63753319,38.96594238,44.0618738
0.2386869167,-15.39875793,-13.63753319,38.96594238,44.0618738
0.2487469167,-15.59146118,-13.71232605,39.13659668,44.30343945
0.2588079167,-15.59146118,-13.71232605,39.13659668,44.30343945
0.2688679167,-15.86378479,-14.06187057,38.94866943,44.34404946
0.2789289167,-15.86378479,-14.06187057,38.94866943,44.34404946
0.2889889167,-15.89884949,-14.81302643,38.82861328,44.49562199
0.2990499167,-15.89884949,-14.81302643,38.82861328,44.49562199
0.3091099167,-15.7696991,-15.60540771,38.55078125,44.47892641
0.3191709167,-15.7696991,-15.60540771,38.55078125,44.47892641
0.3292309167,-15.70608521,-16.38451576,38.33959961,44.55399384
0.3392909167,-15.70608521,-16.38451576,38.33959961,44.55399384
0.3493519167,-15.69369507,-17.29638863,37.72570801,44.36987907
0.3594119167,-15.69369507,-17.29638863,37.72570801,44.36987907
0.3694729167,-15.79518127,-18.92682838,37.14160156,44.57814656
0.3795329167,-15.79518127,-18.92682838,37.14160156,44.57814656
0.3895939167,-15.68603516,-20.39414215,36.31921387,44.50907805
0.3996539167,-15.68603516,-20.39414215,36.31921387,44.50907805
0.4097149167,-15.9079895,-22.12402534,35.35791016,44.63987498
0.4197749167,-15.9079895,-22.12402534,35.35791016,44.63987498
0.4298349167,-16.06181335,-24.17262268,34.17663574,44.83681485
0.4398959167,-16.10412598,-26.3669281,32.30609131,44.70169244
0.4499559167,-16.10412598,-26.3669281,32.30609131,44.70169244
0.4600169167,-16.38264465,-28.56839371,30.44616699,44.84989687
0.4700769167,-16.40534973,-28.55097771,30.43920898,44.84238254
0.4801379167,-16.47290039,-30.76089287,28.10620117,44.80566395
0.4901979167,-16.47290039,-30.76089287,28.10620117,44.80566395
0.5002579167,-16.54667664,-32.65917969,25.87677002,44.83326613
0.5103189167,-16.54667664,-32.65917969,25.87677002,44.83326613
0.5203789167,-16.57794189,-34.67447662,23.49017334,45.04370911
0.5304399167,-16.57794189,-34.67447662,23.49017334,45.04370911
0.5404999167,-16.67709351,-36.19592285,20.87908936,44.99118415
0.5505609167,-16.67709351,-36.19592285,20.87908936,44.99118415
0.5606209167,-16.34461975,-37.7924881,18.18365479,45.01182126
0.5706819167,-16.34461975,-37.7924881,18.18365479,45.01182126
0.5807419167,-16.75971985,-39.06832886,15.20269775,45.14802928
0.5908019167,-16.75971985,-39.06832886,15.20269775,45.14802928
0.6008629167,-17.08276367,-40.06671906,12.081604,45.20097284
0.6109229167,-17.08276367,-40.06671906,12.081604,45.20097284
0.6209839167,-17.22236633,-40.72446442,8.817199707,45.08697057
0.6310439167,-17.22236633,-40.72446442,8.817199707,45.08697057
0.6411049167,-17.50637817,-41.68544006,5.111328125,45.50027324
0.6511649167,-17.50637817,-41.68544006,5.111328125,45.50027324
0.6612249167,-17.57324219,-41.95611572,1.303833008,45.50642227
0.6712859167,-17.46977234,-42.16722107,-2.059936523,45.68928558
0.6813459167,-17.46977234,-42.16722107,-2.059936523,45.68928558
0.6914069167,-17.37492371,-41.77159882,-4.521484375,45.46645205
0.7014669167,-17.37492371,-41.77159882,-4.521484375,45.46645205
0.7115279167,-17.69493103,-41.45992279,-6.106262207,45.48980347
0.7215879167,-17.69493103,-41.45992279,-6.106262207,45.48980347
0.7316479167,-17.01269531,-41.55610657,-6.322265625,45.34658573
0.7417089167,-17.01269531,-41.55610657,-6.322265625,45.34658573
0.7517689167,-16.1542511,-40.77934265,-6.099975586,44.2845833
0.7618299167,-16.1542511,-40.77934265,-6.099975586,44.2845833
0.7718899167,-15.71430969,-39.76434326,-6.377990723,43.22986572
0.7819509167,-15.71430969,-39.76434326,-6.377990723,43.22986572
0.7920109167,-15.93806458,-39.48835754,-7.018432617,43.15797354
0.8020709167,-15.93806458,-39.48835754,-7.018432617,43.15797354
0.8121319167,-16.29258728,-39.58145905,-7.145324707,43.39580585
0.8221919167,-16.29258728,-39.58145905,-7.145324707,43.39580585
0.8322529167,-16.81555176,-39.79851532,-7.110107422,43.78627902
0.8423129167,-16.81555176,-39.79851532,-7.110107422,43.78627902
0.8523739167,-17.29237366,-39.96718597,-6.576843262,44.04153731
0.8624339167,-17.29237366,-39.96718597,-6.576843262,44.04153731
0.8724939167,-17.80168152,-40.01929474,-5.832824707,44.18671362
0.8825549167,-18.00869751,-40.1749649,-4.319213867,44.23795429
0.8926149167,-18.00869751,-40.1749649,-4.319213867,44.23795429
0.9026759167,-18.19793701,-40.29547882,-3.24395752,44.33298755
0.9127359167,-18.19793701,-40.29547882,-3.24395752,44.33298755
0.9227969167,-18.34751892,-40.27002716,-1.50994873,44.2785104
0.9328569167,-18.34751892,-40.27002716,-1.50994873,44.2785104
0.9429169167,-18.34611511,-40.54211426,0.7280883789,44.50587693
0.9529779167,-18.34611511,-40.54211426,0.7280883789,44.50587693
0.9630379167,-18.1771698,-40.57354736,2.977172852,44.55879044
0.9730989167,-18.1771698,-40.57354736,2.977172852,44.55879044
0.9831589167,-17.86491394,-40.37226868,5.222473145,44.45615204
0.9932199167,-17.86491394,-40.37226868,5.222473145,44.45615204
1.003279917,-17.65385437,-40.21751404,7.139770508,44.49812729
1.013339917,-17.65385437,-40.21751404,7.139770508,44.49812729
1.023400917,-17.72212219,-39.97596741,8.36114502,44.52033615
1.033460917,-17.72212219,-39.97596741,8.36114502,44.52033615
1.043521917,-17.40354919,-39.99871826,9.143432617,44.56886073
1.053581917,-17.40354919,-39.99871826,9.143432617,44.56886073
1.063642917,-17.59870911,-39.58627319,9.985961914,44.45792419
1.073702917,-17.59870911,-39.58627319,9.985961914,44.45792419
1.083762917,-17.85574341,-39.29642487,10.25018311,44.36330503
1.093823917,-17.85574341,-39.29642487,10.25018311,44.36330503
1.103883917,-18.11618042,-39.09310913,10.19213867,44.27580451
1.113944917,-18.35668945,-39.09477997,9.976867676,44.32728005
1.124004917,-18.35668945,-39.09477997,9.976867676,44.32728005
1.134065917,-18.18522644,-39.15208435,9.970397949,44.30572203
1.144125917,-18.18522644,-39.15208435,9.970397949,44.30572203
1.154185917,-17.980896,-39.53718567,9.830749512,44.53251966
1.164246917,-17.980896,-39.53718567,9.830749512,44.53251966
1.174306917,-17.86477661,-39.63904572,9.811950684,44.57217254
1.184367917,-17.86477661,-39.63904572,9.811950684,44.57217254
1.194427917,-17.65827942,-39.69495392,9.780761719,44.53276882
1.204488917,-17.65827942,-39.69495392,9.780761719,44.53276882
1.214548917,-17.31109619,-39.6872406,9.594177246,44.34861165
1.224608917,-17.31109619,-39.6872406,9.594177246,44.34861165
1.234669917,-17.24723816,-40.0201416,9.218139648,44.54271048
1.244729917,-17.24723816,-40.0201416,9.218139648,44.54271048
