Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.06425149999,-24.89096069,-4.34210968,43.99591064,50.7351357
0.07431149999,-24.89096069,-4.34210968,43.99591064,50.7351357
0.0843725,-24.91281128,-4.538505554,43.96697998,50.73796928
0.0944325,-24.91281128,-4.538505554,43.96697998,50.73796928
0.1044925,-25.02836609,-4.30038929,44.2277832,51.00009083
0.1145535,-25.02836609,-4.30038929,44.2277832,51.00009083
0.1246135,-25.12388611,-4.213188171,44.16809082,50.98804619
0.1346735,-25.12388611,-4.213188171,44.16809082,50.98804619
0.1447335,-25.11660004,-3.947089195,44.2567749,51.04003561
0.1547945,-25.11660004,-3.947089195,44.2567749,51.04003561
0.1648545,-24.75489807,-4.192635536,43.98046875,50.64251971
0.1749145,-24.75489807,-4.192635536,43.98046875,50.64251971
0.1849755,-24.95877075,-4.043222427,44.11566162,50.84761042
0.1950355,-24.95877075,-4.043222427,44.11566162,50.84761042
0.2050955,-24.70218658,-4.024902344,44.21722412,50.80906189
0.2151555,-24.70218658,-4.024902344,44.21722412,50.80906189
0.2252165,-25.02075958,-3.989221573,44.46405029,51.17620607
0.2352765,-25.00861359,-4.04245472,44.27111816,51.00690245
0.2453365,-25.00861359,-4.04245472,44.27111816,51.00690245
0.2553975,-25.22463989,-3.94207859,44.08325195,50.94266919
0.2654575,-25.22463989,-3.94207859,44.08325195,50.94266919
0.2755175,-25.27674103,-3.90831852,44.01275635,50.90492424
0.2855775,-25.27674103,-3.90831852,44.01275635,50.90492424
0.2956385,-25.24909973,-3.906805992,43.93554688,50.82432931
0.3056985,-25.24909973,-3.906805992,43.93554688,50.82432931
0.3157585,-25.23983765,-3.94329071,43.90899658,50.79959574
0.3258195,-25.23983765,-3.94329071,43.90899658,50.79959574
0.3358795,-25.35946655,-4.140480042,43.89678955,50.86427284
0.3459395,-25.35946655,-4.140480042,43.89678955,50.86427284
0.3560005,-25.29036713,-4.037714005,44.00646973,50.91635476
0.3660605,-25.29036713,-4.037714005,44.00646973,50.91635476
0.3761205,-25.24427032,-4.245783806,44.00201416,50.90655277
0.3861805,-25.24427032,-4.245783806,44.00201416,50.90655277
0.3962415,-25.27071381,-4.481236458,43.82659912,50.78839678
0.4063015,-25.27071381,-4.481236458,43.82659912,50.78839678
0.4163615,-25.34332275,-4.686805725,44.01171875,51.00276016
0.4264225,-25.34332275,-4.686805725,44.01171875,51.00276016
0.4364825,-25.25762177,-4.939131737,43.80194092,50.80307577
0.4465425,-25.48658752,-5.317458153,43.71484375,50.88053723
0.4566025,-25.48658752,-5.317458153,43.71484375,50.88053723
0.4666635,-25.61105347,-6.061807632,43.66546631,50.98376721
0.4767235,-25.61105347,-6.061807632,43.66546631,50.98376721
0.4867835,-25.55484009,-6.650903702,43.63525391,51.00313476
0.4968445,-25.55484009,-6.650903702,43.63525391,51.00313476
0.5069045,-25.6296463,-7.3251791,43.48504639,51.0047672
0.5169645,-25.6296463,-7.3251791,43.48504639,51.0047672
0.5270245,-25.89959717,-7.162441254,43.24401855,50.91301247
0.5370855,-25.89959717,-7.162441254,43.24401855,50.91301247
0.5471455,-25.91046143,-7.053179741,43.09143066,50.77372108
0.5572055,-25.91046143,-7.053179741,43.09143066,50.77372108
0.5672665,-25.94387817,-6.502387047,43.21643066,50.82347618
0.5773265,-25.94387817,-6.502387047,43.21643066,50.82347618
0.5873865,-26.25969696,-6.080758095,43.32635498,51.02666302
0.5974465,-26.25969696,-6.080758095,43.32635498,51.02666302
0.6075075,-26.27696228,-5.697482109,43.05731201,50.76290148
0.6175675,-26.27696228,-5.697482109,43.05731201,50.76290148
0.6276275,-26.14572144,-5.457427979,43.28411865,50.8615493
0.6376885,-26.14572144,-5.457427979,43.28411865,50.8615493
0.6477485,-26.40270233,-5.237353325,43.33062744,51.01054631
0.6578085,-26.40270233,-5.237353325,43.33062744,51.01054631
0.6678695,-26.37742615,-5.142152786,43.31469727,50.97424197
0.6779295,-26.26626587,-4.890851974,43.33068848,50.90565508
0.6879895,-26.26626587,-4.890851974,43.33068848,50.90565508
0.6980495,-26.37863159,-4.739398956,43.1192627,50.76972447
0.7081105,-26.37863159,-4.739398956,43.1192627,50.76972447
0.7181705,-26.35848236,-4.588116646,43.40631104,50.98949151
0.7282305,-26.35848236,-4.588116646,43.40631104,50.98949151
0.7382905,-26.08717346,-4.55625248,43.37249756,50.81804404
0.7483515,-26.08717346,-4.55625248,43.37249756,50.81804404
0.7584115,-25.99222565,-4.410086632,43.19207764,50.60237375
0.7684715,-25.99222565,-4.410086632,43.19207764,50.60237375
0.7785325,-26.11881256,-4.461558342,43.23956299,50.71250023
0.7885925,-26.11881256,-4.461558342,43.23956299,50.71250023
0.7986525,-26.04712677,-4.701198578,43.38946533,50.82518847
0.8087135,-26.04712677,-4.701198578,43.38946533,50.82518847
0.8187735,-26.02877808,-5.157056808,43.31420898,50.79579927
0.8288335,-26.02877808,-5.157056808,43.31420898,50.79579927
0.8388935,-26.06038666,-6.125056267,43.17431641,50.80041008
0.8489545,-26.06038666,-6.125056267,43.17431641,50.80041008
0.8590145,-26.07769775,-6.939727783,43.05163574,50.80993487
0.8690745,-26.07769775,-6.939727783,43.05163574,50.80993487
0.8791355,-25.99655151,-8.093585014,43.0512085,50.93852532
0.8891955,-26.20292664,-9.643191338,42.24493408,50.63811765
0.8992555,-26.20292664,-9.643191338,42.24493408,50.63811765
