Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.01241133334,22.93401718,0.9641189575,38.2722168,44.62803209
0.02247233334,22.93401718,0.9641189575,38.2722168,44.62803209
0.03253333333,23.36774063,0.7740936279,37.8651123,44.50187921
0.04259333333,23.36774063,0.7740936279,37.8651123,44.50187921
0.05265433333,24.15155411,0.5479698181,37.49023438,44.59950123
0.06271433333,24.15155411,0.5479698181,37.49023438,44.59950123
0.07277533333,24.51657104,0.2294807434,37.22149658,44.57078331
0.08283633333,24.51657104,0.2294807434,37.22149658,44.57078331
0.09289633334,25.02958679,-0.1135177612,37.02807617,44.69420014
0.1029573333,25.02958679,-0.1135177612,37.02807617,44.69420014
0.1130183333,25.12518311,0.001571655273,36.86480713,44.61265329
0.1230783333,25.12518311,0.001571655273,36.86480713,44.61265329
0.1331393333,25.34917831,-0.2262420654,36.91717529,44.78291927
0.1431993333,25.34917831,-0.2262420654,36.91717529,44.78291927
0.1532603333,25.76286697,-0.4218788147,36.59350586,44.75475357
0.1633213333,25.5501709,-0.3367004395,36.62756348,44.65985901
0.1733813333,25.5501709,-0.3367004395,36.62756348,44.65985901
0.1834423333,25.38699722,-0.6797142029,36.5692749,44.52273022
0.1935033333,25.38699722,-0.6797142029,36.5692749,44.52273022
0.2035633333,25.21303177,-0.4771766663,36.55670166,44.4107769
0.2136243333,25.21303177,-0.4771766663,36.55670166,44.4107769
0.2236843333,25.05156326,-0.50440979,36.75042725,44.47953635
0.2337453333,25.05156326,-0.50440979,36.75042725,44.47953635
0.2438063333,25.04019928,-0.586151123,36.78125,44.49961241
0.2538663333,25.04019928,-0.586151123,36.78125,44.49961241
0.2639273333,25.01860046,-0.4295196533,36.54748535,44.29259015
0.2739883333,25.01860046,-0.4295196533,36.54748535,44.29259015
0.2840483333,25.04046631,-0.4566230774,36.83416748,44.54199537
0.2941093333,25.04046631,-0.4566230774,36.83416748,44.54199537
0.3041693333,25.01013947,-0.229095459,36.90093994,44.57845813
0.3142303333,25.01013947,-0.229095459,36.90093994,44.57845813
0.3242913333,24.79159164,-0.5674438477,36.83459473,44.40419324
0.3343513333,24.79159164,-0.5674438477,36.83459473,44.40419324
0.3444123333,24.87077332,-0.7025642395,36.93231201,44.53138929
0.3544733333,24.87077332,-0.7025642395,36.93231201,44.53138929
0.3645333333,24.73935318,-0.5380249023,36.86981201,44.40391992
0.3745943333,24.73935318,-0.5380249023,36.86981201,44.40391992
0.3846543333,24.74179077,-0.4401817322,36.95269775,44.47304624
0.3947153333,24.971138,-0.4751319885,36.92834473,44.58123067
0.4047763333,24.971138,-0.4751319885,36.92834473,44.58123067
0.4148363333,24.79867935,-0.2984695435,36.87646484,44.44026599
0.4248973333,24.79867935,-0.2984695435,36.87646484,44.44026599
0.4349583333,24.78772736,-0.185546875,37.06982422,44.59414449
0.4450183333,24.78772736,-0.185546875,37.06982422,44.59414449
0.4550793333,24.81082916,-0.4432411194,36.96148682,44.51881865
0.4651393333,24.81082916,-0.4432411194,36.96148682,44.51881865
0.4752003333,24.74582672,-0.3807449341,36.98675537,44.50304461
0.4852613333,24.74582672,-0.3807449341,36.98675537,44.50304461
0.4953213333,24.71184921,-0.5552940369,36.83123779,44.35677987
0.5053819167,24.71184921,-0.5552940369,36.83123779,44.35677987
0.5154429167,24.84792709,-0.4604377747,36.94232178,44.52377592
0.5255029167,24.84792709,-0.4604377747,36.94232178,44.52377592
0.5355639167,25.03606033,-0.4453201294,36.98907471,44.66759759
0.5456239167,25.03606033,-0.4453201294,36.98907471,44.66759759
0.5556849167,24.93099594,-0.3670501709,36.88024902,44.51788464
0.5657459167,24.93099594,-0.3670501709,36.88024902,44.51788464
