Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.02320416666,-20.10614014,8.373809814,43.68408203,48.81266828
0.03326416666,-20.10614014,8.373809814,43.68408203,48.81266828
0.04332516667,-20.09009552,8.249221802,43.74926758,48.84321869
0.05338545833,-20.09009552,8.249221802,43.74926758,48.84321869
0.06344545833,-19.9311676,8.308937073,43.7925415,48.82700655
0.07350645833,-19.9311676,8.308937073,43.7925415,48.82700655
0.08356745834,-20.23912048,8.316047668,43.76568604,48.9307053
0.09362745832,-20.23912048,8.316047668,43.76568604,48.9307053
0.1036884583,-20.10907745,8.178659439,43.75732422,48.84638051
0.1137494583,-20.10266876,8.429935455,43.76934814,48.8972079
0.1238094583,-20.10266876,8.429935455,43.76934814,48.8972079
0.1338704583,-19.85643005,8.272762299,43.99780273,48.97471854
0.1439314583,-19.85643005,8.272762299,43.99780273,48.97471854
0.1539914583,-19.95888519,8.169589996,43.78570557,48.80868069
0.1640524583,-19.95888519,8.169589996,43.78570557,48.80868069
0.1741134583,-20.19065857,8.532737732,43.89733887,49.06573821
0.1841734583,-20.19065857,8.532737732,43.89733887,49.06573821
0.1942344583,-20.27784729,8.501968384,43.71557617,48.93389579
0.2042954583,-20.27784729,8.501968384,43.71557617,48.93389579
0.2143554583,-20.16304016,8.239151001,43.69976807,48.82726213
0.2244164583,-20.16304016,8.239151001,43.69976807,48.82726213
0.2344774583,-20.21669006,8.439590454,43.75366211,48.93183209
0.2445374583,-20.21669006,8.439590454,43.75366211,48.93183209
0.2545984583,-20.52064514,8.337957382,43.56561279,48.87311151
0.2646594583,-20.52064514,8.337957382,43.56561279,48.87311151
0.2747194583,-20.39404297,8.182128906,43.59918213,48.82369204
0.2847804583,-20.39404297,8.182128906,43.59918213,48.82369204
0.2948414583,-20.53479004,8.015584946,43.67541504,48.92309355
0.3049014583,-20.53479004,8.015584946,43.67541504,48.92309355
0.3149624583,-20.72374725,8.156412125,43.60498047,48.96320129
0.3250234583,-20.72374725,8.156412125,43.60498047,48.96320129
0.3350834583,-20.6206131,7.921102524,43.6572876,48.92762318
0.3451444583,-20.61655426,7.790643692,43.55963135,48.81780333
0.3552054583,-20.61655426,7.790643692,43.55963135,48.81780333
0.3652654583,-20.72950745,7.755947113,43.69958496,48.98490503
0.3753264583,-20.72950745,7.755947113,43.69958496,48.98490503
0.3853874583,-20.85691833,7.657920837,43.77099609,49.08721721
0.3954474583,-20.85691833,7.657920837,43.77099609,49.08721721
0.4055084583,-20.60598755,7.510299683,43.92700195,49.09778839
0.4155694583,-20.60598755,7.510299683,43.92700195,49.09778839
0.4256294583,-20.45420837,7.508359909,43.92376709,49.0310863
0.4356904583,-20.45420837,7.508359909,43.92376709,49.0310863
0.4457514583,-20.13015747,7.289934158,44.17932129,49.09357198
0.4558114583,-20.13015747,7.289934158,44.17932129,49.09357198
0.4658724583,-19.87889862,7.145727158,44.21551514,49.00248775
0.4759334583,-19.87889862,7.145727158,44.21551514,49.00248775
0.4859934583,-19.69654083,6.61913681,44.22753906,48.86554926
0.4960544583,-19.69654083,6.61913681,44.22753906,48.86554926
0.5061154583,-19.55957794,6.823080063,44.62298584,49.19697527
0.5161754583,-19.55957794,6.823080063,44.62298584,49.19697527
0.5262364583,-19.28686523,6.38051033,44.51141357,48.92811074
0.5362964583,-19.28686523,6.38051033,44.51141357,48.92811074
0.5463574583,-19.20905304,6.287557602,44.69580078,49.05339649
0.5564184583,-19.10453796,5.761861801,44.7699585,49.01562614
0.5664794583,-19.10453796,5.761861801,44.7699585,49.01562614
0.5765394583,-19.06506348,5.385360718,44.8951416,49.07191147
0.5866004583,-19.06506348,5.385360718,44.8951416,49.07191147
0.5966614583,-18.89854431,5.232013702,45.02416992,49.10911139
0.6067214583,-18.89854431,5.232013702,45.02416992,49.10911139
0.6167824583,-18.85063934,4.9591465,44.85461426,48.90681096
0.6268434583,-18.85063934,4.9591465,44.85461426,48.90681096
0.6369034583,-18.90129089,4.562303543,44.82849121,48.86375994
0.6469644583,-18.90129089,4.562303543,44.82849121,48.86375994
0.6570254583,-18.83886719,4.216409683,44.85345459,48.83147977
0.6670854583,-18.83886719,4.216409683,44.85345459,48.83147977
0.6771464583,-18.91621399,3.668201447,45.0213623,48.97143981
0.6872074583,-18.91621399,3.668201447,45.0213623,48.97143981
0.6972674583,-18.79873657,3.365938187,44.99584961,48.88096274
0.7073284583,-18.79873657,3.365938187,44.99584961,48.88096274
0.7173894583,-18.91797638,3.128011703,44.83483887,48.7630707
0.7274494583,-18.91797638,3.128011703,44.83483887,48.7630707
0.7375104583,-19.30730438,2.5160923,44.84802246,48.89220635
0.7475714583,-19.30730438,2.5160923,44.84802246,48.89220635
0.7576314583,-19.51205444,2.421649933,44.94622803,49.05861872
0.7676924583,-19.51205444,2.421649933,44.94622803,49.05861872
0.7777534583,-19.70578766,1.986427307,44.80963135,48.99149949
0.7878134583,-19.7335434,1.34680748,44.80187988,48.97382021
0.7978744583,-19.7335434,1.34680748,44.80187988,48.97382021
0.8079354583,-19.79358673,1.005693436,44.71289062,48.90848682
0.8179954583,-19.79358673,1.005693436,44.71289062,48.90848682
0.8280564583,-19.72338104,1.016895294,44.62884521,48.80348001
0.8381174583,-19.72338104,1.016895294,44.62884521,48.80348001
0.8481774583,-19.7742691,0.439912796,44.47338867,48.67337611
0.8582384583,-19.7742691,0.439912796,44.47338867,48.67337611
0.8682994583,-19.93299103,0.1134490967,44.61950684,48.86959579
0.8783594583,-19.93299103,0.1134490967,44.61950684,48.86959579
0.8884204583,-19.88367462,-0.4589271545,44.54571533,48.78413559
0.8984814583,-19.88367462,-0.4589271545,44.54571533,48.78413559
0.9085414583,-20.0740509,-1.144050598,44.43890381,48.77594226
0.9186024583,-20.0740509,-1.144050598,44.43890381,48.77594226
0.9286634583,-20.12717438,-2.044996262,44.37878418,48.7725501
0.9387234583,-20.12717438,-2.044996262,44.37878418,48.7725501
0.9487844583,-19.89385223,-2.179355621,44.41656494,48.71700102
0.9588454583,-19.89385223,-2.179355621,44.41656494,48.71700102
0.9689054583,-20.11742401,-2.764623642,44.30957031,48.7410701
0.9789664583,-20.11742401,-2.764623642,44.30957031,48.7410701
0.9890274583,-20.36290741,-3.073244095,44.30334473,48.85569753
0.9990874583,-20.4154129,-3.080323219,44.11956787,48.71153605
1.009148458,-20.4154129,-3.080323219,44.11956787,48.71153605
1.019209458,-20.40651703,-3.344941139,44.12268066,48.7280773
1.029269458,-20.40651703,-3.344941139,44.12268066,48.7280773
1.039330458,-20.44365692,-3.115824699,44.2612915,48.85400083
1.049391458,-20.44365692,-3.115824699,44.2612915,48.85400083
1.059451667,-20.3299942,-2.656857491,44.2543335,48.77308263
1.069512667,-20.3299942,-2.656857491,44.2543335,48.77308263
1.079573667,-20.37212372,-2.318403244,44.19036865,48.71536821
1.089633667,-20.37212372,-2.318403244,44.19036865,48.71536821
1.099694667,-20.13710022,-1.538524628,44.32806396,48.71187861
1.109755667,-20.13710022,-1.538524628,44.32806396,48.71187861
1.119815667,-20.27732849,-1.071950912,44.29589844,48.72828489
1.129876667,-20.27732849,-1.071950912,44.29589844,48.72828489
1.139937667,-20.41519928,-1.385187149,44.34033203,48.83404703
1.149997667,-20.41519928,-1.385187149,44.34033203,48.83404703
1.160058667,-20.24228668,-1.939115524,44.24615479,48.69530319
1.170119667,-20.24228668,-1.939115524,44.24615479,48.69530319
1.180179667,-20.31994629,-2.309049606,44.27972412,48.77423393
1.190240667,-20.31994629,-2.309049606,44.27972412,48.77423393
1.200301667,-20.40353394,-2.746661186,44.10766602,48.67581069
1.210361667,-20.59428406,-3.223780632,43.9708252,48.66159436
1.220422667,-20.59428406,-3.223780632,43.9708252,48.66159436
1.230483667,-20.6673584,-3.366406441,44.02362061,48.74988786
1.240543667,-20.6673584,-3.366406441,44.02362061,48.74988786
1.250604667,-20.68096161,-3.523374557,43.97039795,48.71870521
1.260665667,-20.68096161,-3.523374557,43.97039795,48.71870521
1.270725667,-20.70980835,-3.730661392,43.73956299,48.53826703
1.280786667,-20.70980835,-3.730661392,43.73956299,48.53826703
1.290847667,-20.7507019,-4.381834984,43.87927246,48.73584573
1.300907667,-20.7507019,-4.381834984,43.87927246,48.73584573
1.310968667,-20.70574188,-5.366557121,43.75805664,48.70621319
1.321029667,-20.70574188,-5.366557121,43.75805664,48.70621319
1.331089667,-20.82318878,-6.58549881,43.5112915,48.68476634
1.341150667,-20.82318878,-6.58549881,43.5112915,48.68476634
1.351211667,-20.55090332,-8.363570213,43.29522705,48.64941541
1.361271667,-20.55090332,-8.363570213,43.29522705,48.64941541
1.371332667,-20.36162567,-10.12724113,43.02923584,48.669004
1.381393667,-20.36162567,-10.12724113,43.02923584,48.669004
1.391453667,-20.01637268,-12.30056572,42.58032227,48.63170711
1.401514667,-20.01637268,-12.30056572,42.58032227,48.63170711
1.411575667,-19.72019196,-14.59398079,41.94854736,48.59579068
1.421636667,-19.72019196,-14.59398079,41.94854736,48.59579068
1.431696667,-19.21996307,-17.26939774,41.22949219,48.65706634
1.441757667,-18.92906189,-20.18154526,40.00933838,48.64515711
1.451818667,-18.92906189,-20.18154526,40.00933838,48.64515711
1.461878667,-18.6439743,-22.96556091,38.54498291,48.5873489
1.471939667,-18.6439743,-22.96556091,38.54498291,48.5873489
1.482000667,-18.36859131,-25.63970566,37.03845215,48.64819206
1.492060667,-18.36859131,-25.63970566,37.03845215,48.64819206
1.502121667,-18.5579834,-27.91459274,35.2409668,48.63690961
1.512182667,-18.5579834,-27.91459274,35.2409668,48.63690961
1.522242667,-19.40634918,-30.55221939,32.76574707,48.82252226
1.532303667,-19.40634918,-30.55221939,32.76574707,48.82252226
1.542364667,-19.73251343,-33.35601807,29.75927734,48.86318262
1.552424667,-19.73251343,-33.35601807,29.75927734,48.86318262
1.562485667,-19.66843414,-35.58268738,26.74633789,48.66560935
1.572546667,-19.66843414,-35.58268738,26.74633789,48.66560935
1.582606667,-19.76356506,-37.78379822,23.63970947,48.75499744
1.592667667,-19.76356506,-37.78379822,23.63970947,48.75499744
1.602728667,-19.89017487,-39.65242004,20.49676514,48.8676872
1.612788667,-19.89017487,-39.65242004,20.49676514,48.8676872
1.622849667,-19.87283325,-41.11110687,17.41467285,48.87047616
1.632910667,-19.87283325,-41.11110687,17.41467285,48.87047616
1.642970667,-19.63165283,-42.34189606,14.91241455,48.99610252
1.653031667,-19.34320068,-43.40281296,12.21295166,49.06240693
1.663092667,-19.34320068,-43.40281296,12.21295166,49.06240693
1.673152667,-19.22068787,-44.22169495,9.245239258,49.09651306
1.683213667,-19.22068787,-44.22169495,9.245239258,49.09651306
1.693274667,-18.8484726,-45.03257751,6.119995117,49.20012497
1.703334667,-18.8484726,-45.03257751,6.119995117,49.20012497
1.713395667,-18.78022003,-45.65657043,3.142150879,49.46809275
1.723456667,-18.78022003,-45.65657043,3.142150879,49.46809275
1.733517667,-18.41815186,-45.84235382,1.174621582,49.41790624
1.743577667,-18.41815186,-45.84235382,1.174621582,49.41790624
1.753638667,-18.84106445,-45.82948303,0.7424316406,49.55682021
1.763699667,-18.84106445,-45.82948303,0.7424316406,49.55682021
1.773759667,-18.62189484,-44.97852325,1.743896484,48.71225407
1.783820667,-18.62189484,-44.97852325,1.743896484,48.71225407
1.793881667,-18.97219086,-41.95716858,2.66583252,46.12433939
1.803941667,-18.97219086,-41.95716858,2.66583252,46.12433939
1.814002667,-19.79444885,-39.97363281,1.363708496,44.6270235
1.824063667,-19.79444885,-39.97363281,1.363708496,44.6270235
1.834123667,-20.4058609,-39.33666992,-0.1550292969,44.31474691
1.844184667,-20.4058609,-39.33666992,-0.1550292969,44.31474691
1.854245667,-20.96038818,-39.49112701,-0.8458251953,44.71691409
1.864305667,-21.121315,-40.20074844,-0.8016357422,45.41863871
1.874366667,-21.121315,-40.20074844,-0.8016357422,45.41863871
1.884427667,-21.45084381,-40.67235565,0.2490844727,45.98305403
