Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.003768166665,21.19083023,-1.875778198,39.28710938,44.67713949
0.01382916667,21.19083023,-1.875778198,39.28710938,44.67713949
0.02389016667,21.19033241,-1.926921844,39.23712158,44.63513107
0.03395016667,21.19033241,-1.926921844,39.23712158,44.63513107
0.04401116667,21.17824554,-1.883930206,39.25512695,44.64338999
0.05407216667,21.17824554,-1.883930206,39.25512695,44.64338999
0.06413316667,20.98357391,-1.844947815,39.17510986,44.47924729
0.07419416667,20.98357391,-1.844947815,39.17510986,44.47924729
0.08425416667,20.99901199,-1.69335556,39.31652832,44.60510461
0.09431516667,20.99901199,-1.69335556,39.31652832,44.60510461
0.1043761667,20.96776199,-1.660045624,39.45898438,44.7148101
0.1144371667,20.96776199,-1.660045624,39.45898438,44.7148101
0.1244981667,21.02031708,-1.642902374,39.36889648,44.65940963
0.1345581667,21.02031708,-1.642902374,39.36889648,44.65940963
0.1446191667,20.81361389,-1.572235107,39.47076416,44.64996831
0.1546801667,20.81361389,-1.572235107,39.47076416,44.64996831
0.1647411667,20.87784576,-1.434726715,39.34570312,44.56486552
0.1748011667,20.87784576,-1.434726715,39.34570312,44.56486552
0.1848621667,20.74359512,-1.360958099,39.56341553,44.69242434
0.1949231667,20.67001343,-1.295982361,39.4666748,44.57070165
0.2049841667,20.67001343,-1.295982361,39.4666748,44.57070165
0.2150451667,20.72510529,-1.135063171,39.31433105,44.45711398
0.2251051667,20.72510529,-1.135063171,39.31433105,44.45711398
0.2351661667,20.8359108,-1.066146851,39.45123291,44.62814836
0.2452271667,20.8359108,-1.066146851,39.45123291,44.62814836
0.2552881667,20.7853775,-1.152935028,39.38226318,44.54574986
0.2653491667,20.7853775,-1.152935028,39.38226318,44.54574986
0.2754091667,20.62021065,-1.26342392,39.49768066,44.5741641
0.2854701667,20.62021065,-1.26342392,39.49768066,44.5741641
0.2955311667,20.56570435,-1.518733978,39.43859863,44.5045819
0.3055921667,20.56570435,-1.518733978,39.43859863,44.5045819
0.3156531667,20.91062927,-1.506824493,39.2746582,44.51992491
0.3257131667,20.91062927,-1.506824493,39.2746582,44.51992491
0.3357741667,20.96029663,-1.549598694,39.23077393,44.5060548
0.3458351667,20.96029663,-1.549598694,39.23077393,44.5060548
0.3558961667,20.89953804,-1.550117493,39.43054199,44.65379263
0.3659571667,20.89953804,-1.550117493,39.43054199,44.65379263
0.3760171667,20.87236023,-1.424362183,39.28869629,44.51163764
0.3860781667,20.87236023,-1.424362183,39.28869629,44.51163764
0.3961391667,20.78120804,-1.647171021,39.19580078,44.39462331
0.4062001667,20.78120804,-1.647171021,39.19580078,44.39462331
0.4162611667,20.89404297,-1.658233643,39.24530029,44.4916213
0.4263211667,20.60542297,-1.987625122,39.2008667,44.33105074
0.4363821667,20.60542297,-1.987625122,39.2008667,44.33105074
0.4464431667,20.61624146,-1.883213043,39.17590332,44.30944938
0.4565041667,20.61624146,-1.883213043,39.17590332,44.30944938
0.4665651667,20.43597984,-1.940265656,39.48773193,44.50477363
0.4766251667,20.43597984,-1.940265656,39.48773193,44.50477363
0.4866861667,20.42794037,-1.949321747,39.56201172,44.5674026
0.4967471667,20.42794037,-1.949321747,39.56201172,44.5674026
0.5068081667,20.33788681,-2.351951599,39.33502197,44.34416839
0.5168691667,20.33788681,-2.351951599,39.33502197,44.34416839
0.5269291667,20.2263031,-2.389411926,39.47918701,44.42317901
0.5369901667,20.2263031,-2.389411926,39.47918701,44.42317901
0.5470511667,20.28321457,-2.710941315,39.4744873,44.46339105
0.5571121667,20.28321457,-2.710941315,39.4744873,44.46339105
0.5671731667,20.43346786,-2.940692902,39.48510742,44.55612182
0.5772331667,20.43346786,-2.940692902,39.48510742,44.55612182
0.5872941667,20.33879852,-3.176399231,39.33331299,44.39443375
0.5973551667,20.33879852,-3.176399231,39.33331299,44.39443375
0.6074161667,20.414217,-3.417778015,39.34790039,44.45985523
0.6174771667,20.414217,-3.417778015,39.34790039,44.45985523
0.6275371667,20.2722168,-3.78212738,39.27648926,44.36113017
0.6375981667,20.33974266,-3.860343933,39.41778564,44.523805
0.6476591667,20.33974266,-3.860343933,39.41778564,44.523805
0.6577201667,20.30575371,-4.085729599,39.41644287,44.52721402
0.6677801667,20.30575371,-4.085729599,39.41644287,44.52721402
0.6778411667,19.99293137,-4.442058563,39.51019287,44.50285979
0.6879021667,19.99293137,-4.442058563,39.51019287,44.50285979
0.6979631667,19.92822456,-4.871767044,39.35174561,44.37823938
0.7080241667,19.92822456,-4.871767044,39.35174561,44.37823938
0.7180841667,19.77734756,-5.130208969,39.47265625,44.44719465
0.7281451667,19.77734756,-5.130208969,39.47265625,44.44719465
0.7382061667,19.508358,-5.213144302,39.45556641,44.3226198
0.7482671667,19.508358,-5.213144302,39.45556641,44.3226198
0.7583281667,19.57352829,-5.419336319,39.60821533,44.51182919
0.7683881667,19.57352829,-5.419336319,39.60821533,44.51182919
0.7784491667,19.49445724,-5.727790833,39.51989746,44.43718878
0.7885101667,19.49445724,-5.727790833,39.51989746,44.43718878
0.7985711667,19.3523159,-6.120601654,39.44598389,44.36169001
0.8086321667,19.3523159,-6.120601654,39.44598389,44.36169001
0.8186921667,19.16129875,-6.423711777,39.32830811,44.21691149
0.8287531667,19.16129875,-6.423711777,39.32830811,44.21691149
0.8388141667,19.00639915,-6.681552887,39.5055542,44.34608405
0.8488751667,19.17167854,-6.835832596,39.25415039,44.21730643
0.8589361667,19.17167854,-6.835832596,39.25415039,44.21730643
0.8689961667,18.99452591,-7.190538406,39.32489014,44.25994624
0.8790571667,18.99452591,-7.190538406,39.32489014,44.25994624
0.8891182083,19.12799454,-7.15917778,39.41796875,44.39493509
0.8991792083,19.12799454,-7.15917778,39.41796875,44.39493509
0.9092402083,19.01271057,-7.241716385,39.32226562,44.27376417
0.9193002083,19.01271057,-7.241716385,39.32226562,44.27376417
0.9293612083,19.31447601,-7.387718201,39.40991211,44.50582587
0.9394222083,19.31447601,-7.387718201,39.40991211,44.50582587
0.9494832083,19.21308327,-7.636119843,39.24951172,44.36188753
0.9595442083,19.21308327,-7.636119843,39.24951172,44.36188753
0.9696042083,19.144104,-7.687250137,39.40386963,44.47758396
0.9796652083,19.144104,-7.687250137,39.40386963,44.47758396
0.9897262083,19.14018059,-7.658054352,39.20257568,44.29259814
0.9997872083,19.14018059,-7.658054352,39.20257568,44.29259814
1.009848208,19.08942223,-7.710956573,39.14685059,44.23054152
1.019908208,19.08942223,-7.710956573,39.14685059,44.23054152
1.029969208,19.4394989,-7.927865982,39.11456299,44.39250178
